
 
 ----------- 
 AdH Version 
 ----------- 
 Version 4.5 
 Compatible with Sedlib v1.3 
 
 --------------------- 
 AdH Build Information 
 --------------------- 
 SVN revision #  
 Build Date/Time: 2015.01.06 / 11:43:39 
 Built with DEBUG enabled 
 Built with XMS (*.dat) output file format 
 Built with STRUCTURES enabled 
 Built with Sedlib support enabled 
 Built with UMFPACK enabled 
 
 ------------------- 
 Runtime Information 
 ------------------- 
 AdH execution Date/Time: 2024.10.25 / 11:58:23 
 Launching AdH with project name: ADH_57_most Mesh 
 Launching AdH with run name: (unspecified) 
 AdH was launched with 1 processor 
alloc_adh :: allocating grid 
alloc_adh :: allocating physics 
--allocating 2d shallow water variables 
Successfully Initialized All ADH Variables 
ADH Binary Successfully Written 
 
adh_run_func :: tfinal = 2678400.000000  
Physics	Time	dt	Progress	Nonlinear Iteration	Linear Iterations	Max Resid Worst Node	Inc Max Worst Node	Nodes After Adaption 
HYD	6.00000000e+003	  3.000000e+002	%0.22	    3	0	8653	1873	   10553 
HYD	6.30000000e+003	  3.000000e+002	%0.24	    1	0	10335	10254	   10553 
HYD	6.30000000e+003	  3.000000e+002	%0.24	    2	0	10333	9772	   10553 
HYD	6.30000000e+003	  3.000000e+002	%0.24	    3	0	10119	1873	   10553 
HYD	6.60000000e+003	  3.000000e+002	%0.25	    1	0	10309	10254	   10553 
HYD	6.60000000e+003	  3.000000e+002	%0.25	    2	0	10306	10034	   10553 
HYD	6.60000000e+003	  3.000000e+002	%0.25	    3	0	6103	1873	   10553 
HYD	6.90000000e+003	  3.000000e+002	%0.26	    1	0	10309	10254	   10553 
HYD	6.90000000e+003	  3.000000e+002	%0.26	    2	0	10306	10034	   10553 
HYD	6.90000000e+003	  3.000000e+002	%0.26	    3	0	8458	10498	   10553 
HYD	7.20000000e+003	  3.000000e+002	%0.27	    1	0	10254	10254	   10553 
HYD	7.20000000e+003	  3.000000e+002	%0.27	    2	0	10308	10034	   10553 
HYD	7.50000000e+003	  3.000000e+002	%0.28	    1	0	10254	10254	   10553 
HYD	7.50000000e+003	  3.000000e+002	%0.28	    2	0	10308	9990	   10553 
HYD	7.80000000e+003	  3.000000e+002	%0.29	    1	0	10254	10254	   10553 
HYD	7.80000000e+003	  3.000000e+002	%0.29	    2	0	10308	9990	   10553 
HYD	8.10000000e+003	  3.000000e+002	%0.30	    1	0	10254	10223	   10553 
HYD	8.10000000e+003	  3.000000e+002	%0.30	    2	0	8645	9942	   10553 
HYD	8.40000000e+003	  3.000000e+002	%0.31	    1	0	10254	9942	   10553 
HYD	8.40000000e+003	  3.000000e+002	%0.31	    2	0	8705	9942	   10553 
HYD	8.70000000e+003	  3.000000e+002	%0.32	    1	0	10254	9942	   10553 
HYD	8.70000000e+003	  3.000000e+002	%0.32	    2	0	8735	9942	   10553 
HYD	9.00000000e+003	  3.000000e+002	%0.34	    1	0	10254	9942	   10553 
HYD	9.00000000e+003	  3.000000e+002	%0.34	    2	0	8735	8765	   10553 
HYD	9.30000000e+003	  3.000000e+002	%0.35	    1	0	8490	9856	   10553 
HYD	9.30000000e+003	  3.000000e+002	%0.35	    2	0	8765	8765	   10553 
HYD	9.60000000e+003	  3.000000e+002	%0.36	    1	0	8490	9856	   10553 
HYD	9.60000000e+003	  3.000000e+002	%0.36	    2	0	8858	8826	   10553 
HYD	9.90000000e+003	  3.000000e+002	%0.37	    1	0	8308	8528	   10553 
HYD	9.90000000e+003	  3.000000e+002	%0.37	    2	0	8917	8917	   10553 
HYD	1.02000000e+004	  3.000000e+002	%0.38	    1	0	10335	6192	   10553 
HYD	1.02000000e+004	  3.000000e+002	%0.38	    2	0	9495	9002	   10553 
HYD	1.05000000e+004	  3.000000e+002	%0.39	    1	0	10335	6192	   10553 
HYD	1.05000000e+004	  3.000000e+002	%0.39	    2	0	9495	9527	   10553 
HYD	1.08000000e+004	  3.000000e+002	%0.40	    1	0	10335	10283	   10553 
HYD	1.08000000e+004	  3.000000e+002	%0.40	    2	0	9495	9495	   10553 
HYD	1.11000000e+004	  3.000000e+002	%0.41	    1	0	10335	10283	   10553 
HYD	1.11000000e+004	  3.000000e+002	%0.41	    2	0	4448	4474	   10553 
HYD	1.14000000e+004	  3.000000e+002	%0.43	    1	0	10335	10283	   10553 
HYD	1.14000000e+004	  3.000000e+002	%0.43	    2	0	4474	4474	   10553 
HYD	1.17000000e+004	  3.000000e+002	%0.44	    1	0	10335	10254	   10553 
HYD	1.17000000e+004	  3.000000e+002	%0.44	    2	0	4474	4474	   10553 
HYD	1.20000000e+004	  3.000000e+002	%0.45	    1	0	10335	10254	   10553 
HYD	1.20000000e+004	  3.000000e+002	%0.45	    2	0	5121	5149	   10553 
HYD	1.23000000e+004	  3.000000e+002	%0.46	    1	0	10335	10254	   10553 
HYD	1.23000000e+004	  3.000000e+002	%0.46	    2	0	4604	5149	   10553 
HYD	1.26000000e+004	  3.000000e+002	%0.47	    1	0	10335	10254	   10553 
HYD	1.26000000e+004	  3.000000e+002	%0.47	    2	0	4721	5149	   10553 
HYD	1.29000000e+004	  3.000000e+002	%0.48	    1	0	10335	10254	   10553 
HYD	1.29000000e+004	  3.000000e+002	%0.48	    2	0	10334	4721	   10553 
HYD	1.32000000e+004	  3.000000e+002	%0.49	    1	0	10254	10254	   10553 
HYD	1.32000000e+004	  3.000000e+002	%0.49	    2	0	10334	4721	   10553 
HYD	1.35000000e+004	  3.000000e+002	%0.50	    1	0	10254	10254	   10553 
HYD	1.35000000e+004	  3.000000e+002	%0.50	    2	0	2790	9990	   10553 
HYD	1.38000000e+004	  3.000000e+002	%0.52	    1	0	10254	10254	   10553 
HYD	1.38000000e+004	  3.000000e+002	%0.52	    2	0	2790	10034	   10553 
HYD	1.41000000e+004	  3.000000e+002	%0.53	    1	0	10254	10254	   10553 
HYD	1.41000000e+004	  3.000000e+002	%0.53	    2	0	2790	2024	   10553 
HYD	1.44000000e+004	  3.000000e+002	%0.54	    1	0	10254	10254	   10553 
HYD	1.44000000e+004	  3.000000e+002	%0.54	    2	0	2790	2024	   10553 
HYD	1.47000000e+004	  3.000000e+002	%0.55	    1	0	10254	10254	   10553 
HYD	1.47000000e+004	  3.000000e+002	%0.55	    2	0	2790	2024	   10553 
HYD	1.50000000e+004	  3.000000e+002	%0.56	    1	0	10254	10254	   10553 
HYD	1.50000000e+004	  3.000000e+002	%0.56	    2	0	2024	2024	   10553 
HYD	1.53000000e+004	  3.000000e+002	%0.57	    1	0	10254	10254	   10553 
HYD	1.53000000e+004	  3.000000e+002	%0.57	    2	0	2024	2024	   10553 
HYD	1.56000000e+004	  3.000000e+002	%0.58	    1	0	10254	10254	   10553 
HYD	1.56000000e+004	  3.000000e+002	%0.58	    2	0	2024	2024	   10553 
HYD	1.59000000e+004	  3.000000e+002	%0.59	    1	0	10254	10254	   10553 
HYD	1.59000000e+004	  3.000000e+002	%0.59	    2	0	2024	2024	   10553 
HYD	1.62000000e+004	  3.000000e+002	%0.60	    1	0	10254	10254	   10553 
HYD	1.62000000e+004	  3.000000e+002	%0.60	    2	0	2024	2024	   10553 
HYD	1.65000000e+004	  3.000000e+002	%0.62	    1	0	10254	10254	   10553 
HYD	1.65000000e+004	  3.000000e+002	%0.62	    2	0	2024	2024	   10553 
HYD	1.68000000e+004	  3.000000e+002	%0.63	    1	0	10254	10254	   10553 
HYD	1.68000000e+004	  3.000000e+002	%0.63	    2	0	2024	2024	   10553 
HYD	1.71000000e+004	  3.000000e+002	%0.64	    1	0	10254	10254	   10553 
HYD	1.71000000e+004	  3.000000e+002	%0.64	    2	0	2024	2024	   10553 
HYD	1.74000000e+004	  3.000000e+002	%0.65	    1	0	10254	10254	   10553 
HYD	1.74000000e+004	  3.000000e+002	%0.65	    2	0	2024	2024	   10553 
HYD	1.77000000e+004	  3.000000e+002	%0.66	    1	0	10254	10254	   10553 
HYD	1.77000000e+004	  3.000000e+002	%0.66	    2	0	2024	2024	   10553 
HYD	1.80000000e+004	  3.000000e+002	%0.67	    1	0	10254	10254	   10553 
HYD	1.80000000e+004	  3.000000e+002	%0.67	    2	0	2024	8528	   10553 
HYD	1.83000000e+004	  3.000000e+002	%0.68	    1	0	10254	10254	   10553 
HYD	1.83000000e+004	  3.000000e+002	%0.68	    2	0	4538	8528	   10553 
HYD	1.86000000e+004	  3.000000e+002	%0.69	    1	0	10254	10254	   10553 
HYD	1.86000000e+004	  3.000000e+002	%0.69	    2	0	4339	4339	   10553 
